,0BDoor,timestamp
106,PRESENT,2022-01-20 10:11:30.717000+01:00
107,NOT_PRESENT,2022-01-20 10:11:31.988000+01:00
108,PRESENT,2022-01-20 13:30:43.430000+01:00
109,NOT_PRESENT,2022-01-20 13:46:52.352000+01:00
110,PRESENT,2022-01-20 14:23:20.697000+01:00
111,NOT_PRESENT,2022-01-20 14:23:21.972000+01:00
112,PRESENT,2022-01-21 08:10:45.013000+01:00
113,NOT_PRESENT,2022-01-21 08:24:43.673000+01:00
114,PRESENT,2022-01-21 23:43:47.072000+01:00
115,NOT_PRESENT,2022-01-21 23:43:52.336000+01:00
116,PRESENT,2022-01-21 23:46:14.642000+01:00
117,NOT_PRESENT,2022-01-22 02:17:11.133000+01:00
118,PRESENT,2022-01-22 02:31:06.675000+01:00
119,NOT_PRESENT,2022-01-22 02:31:07.948000+01:00
120,PRESENT,2022-01-22 08:20:13.145000+01:00
121,NOT_PRESENT,2022-01-22 10:59:21.061000+01:00
122,PRESENT,2022-01-22 12:49:34.596000+01:00
123,NOT_PRESENT,2022-01-22 13:43:36.782000+01:00
124,PRESENT,2022-01-22 17:30:40.401000+01:00
125,NOT_PRESENT,2022-01-22 17:30:41.674000+01:00
126,PRESENT,2022-01-22 18:41:48.647000+01:00
127,NOT_PRESENT,2022-01-22 18:41:49.919000+01:00
128,PRESENT,2022-01-23 08:44:13.676000+01:00
129,NOT_PRESENT,2022-01-23 08:44:14.948000+01:00
130,PRESENT,2022-01-23 12:22:46.273000+01:00
131,NOT_PRESENT,2022-01-23 12:22:47.545000+01:00
132,PRESENT,2022-01-23 16:11:09.014000+01:00
133,NOT_PRESENT,2022-01-23 16:11:43.385000+01:00
134,PRESENT,2022-01-23 18:00:03.072000+01:00
135,NOT_PRESENT,2022-01-23 18:26:08.334000+01:00
136,PRESENT,2022-01-23 19:32:11.670000+01:00
137,NOT_PRESENT,2022-01-23 23:26:22.046000+01:00
138,PRESENT,2022-01-23 23:36:06.879000+01:00
139,NOT_PRESENT,2022-01-24 01:27:00.135000+01:00
140,PRESENT,2022-01-24 08:12:22.418000+01:00
141,NOT_PRESENT,2022-01-24 08:29:23.328000+01:00
142,PRESENT,2022-01-24 11:51:07.018000+01:00
143,NOT_PRESENT,2022-01-24 12:04:36.545000+01:00
144,PRESENT,2022-01-24 16:13:31.447000+01:00
145,NOT_PRESENT,2022-01-24 16:13:32.739000+01:00
146,PRESENT,2022-01-24 16:15:39.018000+01:00
147,NOT_PRESENT,2022-01-24 16:15:40.310000+01:00
148,PRESENT,2022-01-24 16:57:16.969000+01:00
149,NOT_PRESENT,2022-01-24 16:57:18.239000+01:00
150,PRESENT,2022-01-24 21:27:47.894000+01:00
151,NOT_PRESENT,2022-01-24 21:27:49.187000+01:00
152,PRESENT,2022-01-25 01:49:51.714000+01:00
153,NOT_PRESENT,2022-01-25 01:50:08.501000+01:00
154,PRESENT,2022-01-25 07:04:05.978000+01:00
155,NOT_PRESENT,2022-01-25 07:41:36.857000+01:00
156,PRESENT,2022-01-25 08:00:09.002000+01:00
157,NOT_PRESENT,2022-01-25 08:00:10.273000+01:00
158,PRESENT,2022-01-25 12:26:18.770000+01:00
159,NOT_PRESENT,2022-01-25 12:27:18.666000+01:00
160,PRESENT,2022-01-25 12:27:50.397000+01:00
161,NOT_PRESENT,2022-01-25 12:27:51.666000+01:00
162,PRESENT,2022-01-25 12:27:53.592000+01:00
163,NOT_PRESENT,2022-01-25 14:01:04.862000+01:00
164,PRESENT,2022-01-25 14:05:27.020000+01:00
165,NOT_PRESENT,2022-01-25 14:21:41.963000+01:00
166,PRESENT,2022-01-25 14:21:44.559000+01:00
167,NOT_PRESENT,2022-01-25 14:21:45.831000+01:00
168,PRESENT,2022-01-25 14:23:16.353000+01:00
169,NOT_PRESENT,2022-01-25 14:40:16.301000+01:00
170,PRESENT,2022-01-25 15:01:56.739000+01:00
171,NOT_PRESENT,2022-01-25 15:02:19.348000+01:00
172,PRESENT,2022-01-25 15:02:40.191000+01:00
173,NOT_PRESENT,2022-01-25 15:06:38.911000+01:00
174,PRESENT,2022-01-25 22:06:56.586000+01:00
175,NOT_PRESENT,2022-01-25 22:06:57.856000+01:00
176,PRESENT,2022-01-26 07:56:36.428000+01:00
177,NOT_PRESENT,2022-01-26 07:56:37.701000+01:00
178,PRESENT,2022-01-26 10:34:10.655000+01:00
179,NOT_PRESENT,2022-01-26 10:34:11.925000+01:00
180,PRESENT,2022-01-26 10:34:49.694000+01:00
181,NOT_PRESENT,2022-01-26 10:41:18.889000+01:00
182,PRESENT,2022-01-26 14:31:13.975000+01:00
183,NOT_PRESENT,2022-01-26 14:31:15.244000+01:00
184,PRESENT,2022-01-26 22:46:57.718000+01:00
185,NOT_PRESENT,2022-01-26 22:47:01.214000+01:00
186,PRESENT,2022-01-27 08:00:43.806000+01:00
187,NOT_PRESENT,2022-01-27 08:05:32.871000+01:00
188,PRESENT,2022-01-27 09:36:12.211000+01:00
189,NOT_PRESENT,2022-01-27 09:36:13.484000+01:00
190,PRESENT,2022-01-27 11:56:49.589000+01:00
191,NOT_PRESENT,2022-01-27 11:56:50.859000+01:00
192,PRESENT,2022-01-27 17:37:56.598000+01:00
193,NOT_PRESENT,2022-01-27 18:11:42.032000+01:00
194,PRESENT,2022-01-28 08:53:22.651000+01:00
195,NOT_PRESENT,2022-01-28 10:29:08.234000+01:00
196,PRESENT,2022-01-28 10:29:11.504000+01:00
197,NOT_PRESENT,2022-01-28 10:48:37.108000+01:00
198,PRESENT,2022-01-28 11:59:02.588000+01:00
199,NOT_PRESENT,2022-01-28 12:46:06.278000+01:00
200,PRESENT,2022-01-28 15:12:37.494000+01:00
201,NOT_PRESENT,2022-01-28 15:41:24.662000+01:00
202,PRESENT,2022-01-28 15:42:53.988000+01:00
203,NOT_PRESENT,2022-01-28 15:56:50.948000+01:00
204,PRESENT,2022-01-29 00:48:36.784000+01:00
205,NOT_PRESENT,2022-01-29 01:19:50.586000+01:00
206,PRESENT,2022-01-29 08:26:24.651000+01:00
207,NOT_PRESENT,2022-01-29 09:51:33.092000+01:00
208,PRESENT,2022-01-29 10:58:59.471000+01:00
209,NOT_PRESENT,2022-01-29 11:02:13.449000+01:00
210,PRESENT,2022-01-29 11:33:24.053000+01:00
211,NOT_PRESENT,2022-01-29 12:59:06.694000+01:00
212,PRESENT,2022-01-29 15:09:59.319000+01:00
213,NOT_PRESENT,2022-01-29 15:10:00.589000+01:00
214,PRESENT,2022-01-29 15:10:30.252000+01:00
215,NOT_PRESENT,2022-01-29 15:17:49.193000+01:00
216,PRESENT,2022-01-29 17:06:41.252000+01:00
217,NOT_PRESENT,2022-01-29 17:06:42.544000+01:00
218,PRESENT,2022-01-29 19:29:34.862000+01:00
219,NOT_PRESENT,2022-01-29 20:09:44.644000+01:00
220,PRESENT,2022-01-29 20:09:47.905000+01:00
221,NOT_PRESENT,2022-01-29 20:09:49.177000+01:00
222,PRESENT,2022-01-29 20:23:36.249000+01:00
223,NOT_PRESENT,2022-01-29 20:23:37.519000+01:00
224,PRESENT,2022-01-30 08:21:16.073000+01:00
225,NOT_PRESENT,2022-01-30 08:31:22.508000+01:00
226,PRESENT,2022-01-30 12:27:12.177000+01:00
227,NOT_PRESENT,2022-01-30 12:27:13.469000+01:00
228,PRESENT,2022-01-30 15:41:33.664000+01:00
229,NOT_PRESENT,2022-01-30 16:28:43.451000+01:00
230,PRESENT,2022-01-30 18:32:43.215000+01:00
231,NOT_PRESENT,2022-01-30 18:44:07.415000+01:00
232,PRESENT,2022-01-30 23:27:02.920000+01:00
233,NOT_PRESENT,2022-01-31 00:09:40.024000+01:00
234,PRESENT,2022-01-31 10:02:38.509000+01:00
235,NOT_PRESENT,2022-01-31 10:02:39.777000+01:00
236,PRESENT,2022-01-31 10:03:15.102000+01:00
237,NOT_PRESENT,2022-01-31 10:11:36.841000+01:00
238,PRESENT,2022-01-31 10:12:06.560000+01:00
239,NOT_PRESENT,2022-01-31 10:20:12.453000+01:00
240,PRESENT,2022-01-31 13:26:09.466000+01:00
241,NOT_PRESENT,2022-01-31 13:48:07.635000+01:00
242,PRESENT,2022-01-31 15:19:01.500000+01:00
243,NOT_PRESENT,2022-01-31 15:31:02.036000+01:00
244,PRESENT,2022-01-31 19:01:03.567000+01:00
245,NOT_PRESENT,2022-01-31 19:59:11.850000+01:00
246,PRESENT,2022-01-31 23:11:40.540000+01:00
247,NOT_PRESENT,2022-02-01 01:18:30.669000+01:00
248,PRESENT,2022-02-01 01:19:56.197000+01:00
249,NOT_PRESENT,2022-02-01 01:41:25.581000+01:00
250,PRESENT,2022-02-01 07:33:45.356000+01:00
251,NOT_PRESENT,2022-02-01 07:33:46.624000+01:00
252,PRESENT,2022-02-01 12:21:05.320000+01:00
253,NOT_PRESENT,2022-02-01 12:28:44.904000+01:00
254,PRESENT,2022-02-01 12:30:30.309000+01:00
255,NOT_PRESENT,2022-02-01 12:39:24.252000+01:00
256,PRESENT,2022-02-01 15:38:58.759000+01:00
257,NOT_PRESENT,2022-02-01 15:39:00.027000+01:00
258,PRESENT,2022-02-01 19:16:03.450000+01:00
259,NOT_PRESENT,2022-02-01 20:02:15.946000+01:00
260,PRESENT,2022-02-01 22:04:04.520000+01:00
261,NOT_PRESENT,2022-02-01 23:16:01.054000+01:00
262,PRESENT,2022-02-02 08:14:57.765000+01:00
263,NOT_PRESENT,2022-02-02 08:14:59.031000+01:00
264,PRESENT,2022-02-02 08:17:20.314000+01:00
265,NOT_PRESENT,2022-02-02 08:26:47.036000+01:00
266,PRESENT,2022-02-02 10:14:28.559000+01:00
267,NOT_PRESENT,2022-02-02 10:35:16.317000+01:00
268,PRESENT,2022-02-02 17:38:19.802000+01:00
269,NOT_PRESENT,2022-02-02 17:38:49.473000+01:00
270,PRESENT,2022-02-02 19:13:15.005000+01:00
271,NOT_PRESENT,2022-02-02 19:13:16.274000+01:00
272,PRESENT,2022-02-02 21:51:45.395000+01:00
273,NOT_PRESENT,2022-02-02 21:51:46.661000+01:00
274,PRESENT,2022-02-03 21:57:35.928000+01:00
275,NOT_PRESENT,2022-02-03 22:38:49.747000+01:00
276,PRESENT,2022-02-03 22:43:14.020000+01:00
277,NOT_PRESENT,2022-02-03 23:20:25.703000+01:00
278,PRESENT,2022-02-03 23:30:35.393000+01:00
279,NOT_PRESENT,2022-02-03 23:30:36.664000+01:00
280,PRESENT,2022-02-03 23:31:02.826000+01:00
281,NOT_PRESENT,2022-02-03 23:31:11.373000+01:00
282,PRESENT,2022-02-03 23:31:48.119000+01:00
283,NOT_PRESENT,2022-02-03 23:31:49.388000+01:00
284,PRESENT,2022-02-03 23:34:37.879000+01:00
